order,group1,group2,lat (Y),long (X)
1,1,0,69.407,33.75
2,1,1,69.437,34
3,2,1,69.931,39
4,2,2,70.317,45
5,3,2,70.48,50
6,3,3,70.504,55
7,4,3,70.455,57.92
8,4,4,71.289,60
9,5,4,72.958,65
10,5,5,74.257,70
11,6,5,75.277,75
12,6,6,75.934,79
13,7,6,76.079,80
14,7,7,76.708,85
15,8,7,77.193,90
16,8,8,77.556,95
17,9,8,77.812,100
18,9,9,77.971,105
19,10,9,77.71,110
20,10,10,77.342,115
21,11,10,76.852,120
22,11,11,76.219,125
23,12,11,75.41,130
24,12,12,74.383,135
25,13,12,73.074,140
26,13,13,73.166,145
27,14,13,73.137,150
28,14,14,72.986,155
29,15,14,72.707,160
30,15,15,72.29,165
31,16,15,71.72,170
32,16,16,70.974,175
33,17,16,70.02,180
34,17,17,69.829,-175
35,18,17,69.49,-170
36,18,18,69.1,-167.033
37,19,18,64.1,-168.75
38,19,19,64.07,-170
39,20,19,63.381,-175
40,20,20,62.136,180
41,21,20,60.581,175
42,21,21,58.653,170
43,22,21,56.266,165
44,22,22,53.308,160
45,23,22,49.629,155
46,23,23,47,152
47,24,23,46.805,150
48,24,24,46.158,145
49,25,24,45.645,141.943
50,25,25,35.1,129.067
