month,ship_type,n_zones,fee,units
jul,1A,1,223.42,2014 rubles/tonne
aug,1A,1,223.42,2014 rubles/tonne
sep,1A,1,223.42,2014 rubles/tonne
oct,1A,1,223.42,2014 rubles/tonne
nov,1A,1,223.42,2014 rubles/tonne
dec,1A,1,558.55,2014 rubles/tonne
jan,1A,1,558.55,2014 rubles/tonne
feb,1A,1,558.55,2014 rubles/tonne
mar,1A,1,558.55,2014 rubles/tonne
apr,1A,1,558.55,2014 rubles/tonne
may,1A,1,558.55,2014 rubles/tonne
jun,1A,1,558.55,2014 rubles/tonne
jul,1A,2,268.11,2014 rubles/tonne
aug,1A,2,268.11,2014 rubles/tonne
sep,1A,2,268.11,2014 rubles/tonne
oct,1A,2,268.11,2014 rubles/tonne
nov,1A,2,268.11,2014 rubles/tonne
dec,1A,2,670.26,2014 rubles/tonne
jan,1A,2,670.26,2014 rubles/tonne
feb,1A,2,670.26,2014 rubles/tonne
mar,1A,2,670.26,2014 rubles/tonne
apr,1A,2,670.26,2014 rubles/tonne
may,1A,2,670.26,2014 rubles/tonne
jun,1A,2,670.26,2014 rubles/tonne
jul,1A,3,312.79,2014 rubles/tonne
aug,1A,3,312.79,2014 rubles/tonne
sep,1A,3,312.79,2014 rubles/tonne
oct,1A,3,312.79,2014 rubles/tonne
nov,1A,3,312.79,2014 rubles/tonne
dec,1A,3,781.97,2014 rubles/tonne
jan,1A,3,781.97,2014 rubles/tonne
feb,1A,3,781.97,2014 rubles/tonne
mar,1A,3,781.97,2014 rubles/tonne
apr,1A,3,781.97,2014 rubles/tonne
may,1A,3,781.97,2014 rubles/tonne
jun,1A,3,781.97,2014 rubles/tonne
jul,1A,4,357.47,2014 rubles/tonne
aug,1A,4,357.47,2014 rubles/tonne
sep,1A,4,357.47,2014 rubles/tonne
oct,1A,4,357.47,2014 rubles/tonne
nov,1A,4,357.47,2014 rubles/tonne
dec,1A,4,893.68,2014 rubles/tonne
jan,1A,4,893.68,2014 rubles/tonne
feb,1A,4,893.68,2014 rubles/tonne
mar,1A,4,893.68,2014 rubles/tonne
apr,1A,4,893.68,2014 rubles/tonne
may,1A,4,893.68,2014 rubles/tonne
jun,1A,4,893.68,2014 rubles/tonne
jul,1A,5,402.16,2014 rubles/tonne
aug,1A,5,402.16,2014 rubles/tonne
sep,1A,5,402.16,2014 rubles/tonne
oct,1A,5,402.16,2014 rubles/tonne
nov,1A,5,402.16,2014 rubles/tonne
dec,1A,5,1005.4,2014 rubles/tonne
jan,1A,5,1005.4,2014 rubles/tonne
feb,1A,5,1005.4,2014 rubles/tonne
mar,1A,5,1005.4,2014 rubles/tonne
apr,1A,5,1005.4,2014 rubles/tonne
may,1A,5,1005.4,2014 rubles/tonne
jun,1A,5,1005.4,2014 rubles/tonne
jul,1A,6,446.84,2014 rubles/tonne
aug,1A,6,446.84,2014 rubles/tonne
sep,1A,6,446.84,2014 rubles/tonne
oct,1A,6,446.84,2014 rubles/tonne
nov,1A,6,446.84,2014 rubles/tonne
dec,1A,6,1117.11,2014 rubles/tonne
jan,1A,6,1117.11,2014 rubles/tonne
feb,1A,6,1117.11,2014 rubles/tonne
mar,1A,6,1117.11,2014 rubles/tonne
apr,1A,6,1117.11,2014 rubles/tonne
may,1A,6,1117.11,2014 rubles/tonne
jun,1A,6,1117.11,2014 rubles/tonne
jul,1A,7,446.84,2014 rubles/tonne
aug,1A,7,446.84,2014 rubles/tonne
sep,1A,7,446.84,2014 rubles/tonne
oct,1A,7,446.84,2014 rubles/tonne
nov,1A,7,446.84,2014 rubles/tonne
dec,1A,7,1117.11,2014 rubles/tonne
jan,1A,7,1117.11,2014 rubles/tonne
feb,1A,7,1117.11,2014 rubles/tonne
mar,1A,7,1117.11,2014 rubles/tonne
apr,1A,7,1117.11,2014 rubles/tonne
may,1A,7,1117.11,2014 rubles/tonne
jun,1A,7,1117.11,2014 rubles/tonne
jul,1AS,1,221.19,2014 rubles/tonne
aug,1AS,1,221.19,2014 rubles/tonne
sep,1AS,1,221.19,2014 rubles/tonne
oct,1AS,1,221.19,2014 rubles/tonne
nov,1AS,1,221.19,2014 rubles/tonne
dec,1AS,1,552.97,2014 rubles/tonne
jan,1AS,1,552.97,2014 rubles/tonne
feb,1AS,1,552.97,2014 rubles/tonne
mar,1AS,1,552.97,2014 rubles/tonne
apr,1AS,1,552.97,2014 rubles/tonne
may,1AS,1,552.97,2014 rubles/tonne
jun,1AS,1,552.97,2014 rubles/tonne
jul,1AS,2,265.42,2014 rubles/tonne
aug,1AS,2,265.42,2014 rubles/tonne
sep,1AS,2,265.42,2014 rubles/tonne
oct,1AS,2,265.42,2014 rubles/tonne
nov,1AS,2,265.42,2014 rubles/tonne
dec,1AS,2,663.56,2014 rubles/tonne
jan,1AS,2,663.56,2014 rubles/tonne
feb,1AS,2,663.56,2014 rubles/tonne
mar,1AS,2,663.56,2014 rubles/tonne
apr,1AS,2,663.56,2014 rubles/tonne
may,1AS,2,663.56,2014 rubles/tonne
jun,1AS,2,663.56,2014 rubles/tonne
jul,1AS,3,309.66,2014 rubles/tonne
aug,1AS,3,309.66,2014 rubles/tonne
sep,1AS,3,309.66,2014 rubles/tonne
oct,1AS,3,309.66,2014 rubles/tonne
nov,1AS,3,309.66,2014 rubles/tonne
dec,1AS,3,774.15,2014 rubles/tonne
jan,1AS,3,774.15,2014 rubles/tonne
feb,1AS,3,774.15,2014 rubles/tonne
mar,1AS,3,774.15,2014 rubles/tonne
apr,1AS,3,774.15,2014 rubles/tonne
may,1AS,3,774.15,2014 rubles/tonne
jun,1AS,3,774.15,2014 rubles/tonne
jul,1AS,4,353.9,2014 rubles/tonne
aug,1AS,4,353.9,2014 rubles/tonne
sep,1AS,4,353.9,2014 rubles/tonne
oct,1AS,4,353.9,2014 rubles/tonne
nov,1AS,4,353.9,2014 rubles/tonne
dec,1AS,4,884.75,2014 rubles/tonne
jan,1AS,4,884.75,2014 rubles/tonne
feb,1AS,4,884.75,2014 rubles/tonne
mar,1AS,4,884.75,2014 rubles/tonne
apr,1AS,4,884.75,2014 rubles/tonne
may,1AS,4,884.75,2014 rubles/tonne
jun,1AS,4,884.75,2014 rubles/tonne
jul,1AS,5,398.14,2014 rubles/tonne
aug,1AS,5,398.14,2014 rubles/tonne
sep,1AS,5,398.14,2014 rubles/tonne
oct,1AS,5,398.14,2014 rubles/tonne
nov,1AS,5,398.14,2014 rubles/tonne
dec,1AS,5,995.34,2014 rubles/tonne
jan,1AS,5,995.34,2014 rubles/tonne
feb,1AS,5,995.34,2014 rubles/tonne
mar,1AS,5,995.34,2014 rubles/tonne
apr,1AS,5,995.34,2014 rubles/tonne
may,1AS,5,995.34,2014 rubles/tonne
jun,1AS,5,995.34,2014 rubles/tonne
jul,1AS,6,442.37,2014 rubles/tonne
aug,1AS,6,442.37,2014 rubles/tonne
sep,1AS,6,442.37,2014 rubles/tonne
oct,1AS,6,442.37,2014 rubles/tonne
nov,1AS,6,442.37,2014 rubles/tonne
dec,1AS,6,1105.94,2014 rubles/tonne
jan,1AS,6,1105.94,2014 rubles/tonne
feb,1AS,6,1105.94,2014 rubles/tonne
mar,1AS,6,1105.94,2014 rubles/tonne
apr,1AS,6,1105.94,2014 rubles/tonne
may,1AS,6,1105.94,2014 rubles/tonne
jun,1AS,6,1105.94,2014 rubles/tonne
jul,1AS,7,442.37,2014 rubles/tonne
aug,1AS,7,442.37,2014 rubles/tonne
sep,1AS,7,442.37,2014 rubles/tonne
oct,1AS,7,442.37,2014 rubles/tonne
nov,1AS,7,442.37,2014 rubles/tonne
dec,1AS,7,1105.94,2014 rubles/tonne
jan,1AS,7,1105.94,2014 rubles/tonne
feb,1AS,7,1105.94,2014 rubles/tonne
mar,1AS,7,1105.94,2014 rubles/tonne
apr,1AS,7,1105.94,2014 rubles/tonne
may,1AS,7,1105.94,2014 rubles/tonne
jun,1AS,7,1105.94,2014 rubles/tonne
