AU,subAU,proportion
rus2,rus2_sz1,0.07373635991582106
rus3,rus3_sz1,0.4370041182406646
rus9,rus9_sz1,0.25080918642863204
rus18,rus18_sz10,0.12887956294133812
rus22,rus22_sz10,0.1662752699110073
rus9,rus9_sz10,0.03815640471931879
rus18,rus18_sz11,0.03221989073533453
rus22,rus22_sz11,0.039861919658226774
rus9,rus9_sz11,0.009539101179829697
rus18,rus18_sz12,0.16109945367667264
rus9,rus9_sz12,0.04769550589914849
rus18,rus18_sz13,0.16109945367667264
rus9,rus9_sz13,0.04769550589914849
rus18,rus18_sz14,0.16109945367667264
rus9,rus9_sz14,0.04769550589914849
rus18,rus18_sz15,0.12301474114144663
rus19,rus19_sz15,0.11943017778684135
rus9,rus9_sz15,0.04769550589914849
rus19,rus19_sz16,0.18132753608246008
rus9,rus9_sz16,0.04769550589914849
rus19,rus19_sz17,0.18132753608246008
rus9,rus9_sz17,0.04769550589914849
rus12,rus12_sz18,0.07210393561983108
rus19,rus19_sz18,0.18132753608246008
rus6,rus6_sz18,0.0579263005504353
rus9,rus9_sz18,0.04769550589914849
rus12,rus12_sz19,0.23004609586457578
rus19,rus19_sz19,0.18132753608246008
rus6,rus6_sz19,0.1732052301588568
rus9,rus9_sz19,0.024219123904310934
rus1,rus1_sz2,0.2318441035857424
rus2,rus2_sz2,0.15468505011348807
rus3,rus3_sz2,0.33209060924018424
rus9,rus9_sz2,0.05723460707897819
rus12,rus12_sz20,0.23004609586457578
rus19,rus19_sz20,0.15525967788331832
rus6,rus6_sz20,0.1732052301588568
rus12,rus12_sz21,0.23004609586457578
rus6,rus6_sz21,0.1732052301588568
rus10,rus10_sz22,0.20624760631589695
rus12,rus12_sz22,0.23004609586457578
rus6,rus6_sz22,0.1732052301588568
rus10,rus10_sz23,0.309736728380485
rus12,rus12_sz23,0.007711680921865757
rus6,rus6_sz23,0.1732052301588568
rus10,rus10_sz24,0.309736728380485
rus13,rus13_sz24,0.02481201215696159
rus15,rus15_sz24,0.10378584010605527
rus6,rus6_sz24,0.07604754865528073
rus10,rus10_sz25,0.17427893692313307
rus13,rus13_sz25,0.03162847736587637
rus15,rus15_sz25,0.1216257621672933
rus13,rus13_sz26,0.03162847736587637
rus15,rus15_sz26,0.1216257621672933
rus4,rus4_sz26,0.13236910464439183
rus13,rus13_sz27,0.03162847736587637
rus15,rus15_sz27,0.1216257621672933
rus21,rus21_sz27,0.08276554358831327
rus4,rus4_sz27,0.3351984445044122
rus13,rus13_sz28,0.03162847736587637
rus15,rus15_sz28,0.1216257621672933
rus21,rus21_sz28,0.2570985195966394
rus4,rus4_sz28,0.3351984445044122
rus13,rus13_sz29,0.03162847736587637
rus15,rus15_sz29,0.1216257621672933
rus21,rus21_sz29,0.2570985195966394
rus4,rus4_sz29,0.19723400634678373
rus1,rus1_sz3,0.3127251554242003
rus2,rus2_sz3,0.1289042084279067
rus3,rus3_sz3,0.23090527251915122
rus9,rus9_sz3,0.04769550589914849
rus13,rus13_sz30,0.03162847736587637
rus15,rus15_sz30,0.1216257621672933
rus21,rus21_sz30,0.2570985195966394
rus13,rus13_sz31,0.03162847736587637
rus15,rus15_sz31,0.1216257621672933
rus17,rus17_sz31,0.11583097693347191
rus21,rus21_sz31,0.14593889762176857
rus13,rus13_sz32,0.03162847736587637
rus15,rus15_sz32,0.044833824722891616
rus17,rus17_sz32,0.27231692980882316
rus13,rus13_sz33,0.03162847736587637
rus17,rus17_sz33,0.27231692980882316
rus13,rus13_sz34,0.690531691550151
rus17,rus17_sz34,0.3395351634488818
rus1,rus1_sz4,0.3127251554242003
rus2,rus2_sz4,0.1289042084279067
rus9,rus9_sz4,0.04769550589914849
rus1,rus1_sz5,0.14270558556585702
rus2,rus2_sz5,0.07528005772189757
rus22,rus22_sz5,0.08386740791076477
rus9,rus9_sz5,0.027854175445102734
rus2,rus2_sz6,0.05362415070600915
rus22,rus22_sz6,0.08646314035372372
rus9,rus9_sz6,0.019841330454045757
rus2,rus2_sz7,0.1289042084279067
rus22,rus22_sz7,0.20784408738875915
rus9,rus9_sz7,0.04769550589914849
rus18,rus18_sz8,0.07148799047519018
rus2,rus2_sz8,0.1289042084279067
rus22,rus22_sz8,0.20784408738875915
rus9,rus9_sz8,0.04769550589914849
rus18,rus18_sz9,0.16109945367667264
rus2,rus2_sz9,0.1270575478311573
rus22,rus22_sz9,0.20784408738875915
rus9,rus9_sz9,0.04769550589914849
